# frame_id tx ty tz qx qy qz qw
793 1.033515 0.330481 -0.068475 0.137444 0.866746 0.425531 -0.220870
796 1.004692 0.371627 -0.058175 0.161080 0.849867 0.459691 -0.201155
799 0.980141 0.410758 -0.034442 0.179323 0.832077 0.490028 -0.188056
802 0.973460 0.446258 -0.029643 0.187017 0.813076 0.520426 -0.181902
805 0.964572 0.486833 -0.011384 0.196896 0.788386 0.557239 -0.170777
808 0.970462 0.521948 0.012139 0.198227 0.763897 0.590307 -0.169426
811 0.956071 0.553197 0.035453 0.199413 0.743454 0.614598 -0.172566
814 0.941745 0.579303 0.052081 0.194678 0.726772 0.632394 -0.184336
817 0.917477 0.601636 0.077783 0.193669 0.705706 0.648252 -0.210335
820 0.900552 0.626401 0.094356 0.189590 0.685133 0.659899 -0.243273
823 0.869444 0.641258 0.120224 0.194422 0.659973 0.670843 -0.276776
826 0.858187 0.661542 0.151940 0.200799 0.635443 0.676683 -0.313035
829 0.858477 0.671472 0.160315 0.188992 0.618740 0.675765 -0.353248
832 0.845686 0.675579 0.165436 0.173789 0.608028 0.670120 -0.388636
835 0.858964 0.670682 0.165718 0.142623 0.609632 0.657965 -0.418437
838 0.874035 0.658538 0.159533 0.105554 0.617767 0.638424 -0.446808
841 0.858934 0.623693 0.157256 0.066997 0.633649 0.615699 -0.463588
844 0.860066 0.594886 0.133840 0.019447 0.646521 0.588012 -0.485669
855 0.880216 0.596328 0.130729 -0.003072 0.651007 0.575863 -0.494533
858 0.884058 0.570909 0.125301 0.034708 -0.677586 -0.535129 0.503298
861 0.891295 0.546360 0.118430 0.066276 -0.704652 -0.488597 0.510242
864 0.897355 0.526757 0.118578 0.078468 -0.722617 -0.457831 0.511916
867 0.891716 0.490681 0.118739 0.085108 -0.729552 -0.439998 0.516635
870 0.890239 0.467286 0.127076 0.081570 -0.728063 -0.429425 0.528077
873 0.880664 0.442367 0.138636 0.080768 -0.714230 -0.426515 0.549033
876 0.873179 0.423488 0.161227 0.081078 -0.690903 -0.426236 0.578275
879 0.860455 0.429014 0.183840 0.078772 -0.653086 -0.440188 0.611153
882 0.844741 0.440588 0.192706 0.096697 -0.615733 -0.445911 0.642406
885 0.832980 0.457137 0.197429 0.102579 -0.589843 -0.437412 0.670995
888 0.806824 0.464105 0.229853 0.102578 -0.559118 -0.429940 0.701439
891 0.793163 0.482012 0.256115 0.095697 -0.507023 -0.419845 0.746659
894 0.791007 0.497816 0.283309 0.088044 -0.468785 -0.402969 0.781092
897 0.774522 0.514350 0.304789 0.090055 -0.437919 -0.397148 0.801493
900 0.770370 0.530210 0.319550 0.097888 -0.406772 -0.394082 0.818324
903 0.759285 0.542576 0.338438 0.097825 -0.378556 -0.395634 0.831023
906 0.744593 0.560342 0.367193 0.092604 -0.349603 -0.408386 0.838107
909 0.722773 0.572159 0.403880 0.087814 -0.323625 -0.419307 0.843645
912 0.689751 0.594869 0.437905 0.084389 -0.302867 -0.426263 0.848204
915 0.646576 0.606081 0.473291 0.083308 -0.278912 -0.418899 0.860111
918 0.610592 0.619020 0.507018 0.088623 -0.250969 -0.401496 0.876334
921 0.571622 0.635181 0.532976 0.075743 -0.228667 -0.366639 0.898638
924 0.548459 0.630357 0.569645 0.062357 -0.217312 -0.332648 0.915550
927 0.523077 0.633048 0.591501 0.062341 -0.178532 -0.316259 0.929634
930 0.490961 0.627732 0.622777 0.062729 -0.147180 -0.299709 0.940520
933 0.460572 0.635829 0.651196 0.069885 -0.126407 -0.300588 0.942754
936 0.426529 0.644295 0.678589 0.087277 -0.117273 -0.298091 0.943277
939 0.391017 0.674934 0.697173 0.110255 -0.111937 -0.288556 0.944484
942 0.335685 0.716684 0.705470 0.106327 -0.099779 -0.295980 0.943999
945 0.306289 0.736217 0.732783 0.099509 -0.086802 -0.304816 0.943213
948 0.279369 0.763948 0.756660 0.082661 -0.070798 -0.301061 0.947374
951 0.265103 0.766275 0.795659 0.062345 -0.073936 -0.305009 0.947426
954 0.243644 0.774844 0.819443 0.064896 -0.076607 -0.305164 0.946992
957 0.224904 0.776651 0.839853 0.064245 -0.088435 -0.310851 0.944152
960 0.210092 0.785748 0.862064 0.053405 -0.095152 -0.325240 0.939315
963 0.196081 0.778279 0.890128 0.046894 -0.094721 -0.331557 0.937496
966 0.182543 0.769052 0.916552 0.037361 -0.103693 -0.337223 0.934951
969 0.170421 0.750049 0.940519 0.036251 -0.111941 -0.346972 0.930465
972 0.160229 0.734954 0.957249 0.033163 -0.119489 -0.351435 0.927963
975 0.155165 0.702720 0.977156 0.032436 -0.124556 -0.347245 0.928900
978 0.151571 0.654838 0.993037 0.040712 -0.136702 -0.344669 0.927824
981 0.139327 0.605557 0.997673 0.057750 -0.148281 -0.339454 0.927065
984 0.132328 0.565331 0.991912 0.075635 -0.153335 -0.336940 0.925872
987 0.136541 0.533703 0.981079 0.082710 -0.153362 -0.332277 0.926947
990 0.124326 0.489955 0.977771 0.104739 -0.156379 -0.333706 0.923697
993 0.111676 0.467018 0.953232 0.121044 -0.159124 -0.340078 0.918899
996 0.091954 0.441990 0.942848 0.143616 -0.172945 -0.343298 0.911927
999 0.092509 0.430264 0.933996 0.179563 -0.179317 -0.333485 0.907959
1002 0.086095 0.412797 0.911235 0.212151 -0.165498 -0.313558 0.910650
1005 0.088863 0.406844 0.894469 0.228781 -0.160021 -0.297792 0.912892
1008 0.094497 0.408723 0.878175 0.240470 -0.142994 -0.280305 0.918235
1011 0.085864 0.394471 0.845773 0.235793 -0.109819 -0.251499 0.932250
1014 0.108376 0.397736 0.836863 0.239214 -0.067160 -0.218802 0.943606
1017 0.120229 0.403409 0.820567 0.228140 -0.030645 -0.201645 0.952025
1020 0.142616 0.399323 0.813548 0.210771 0.014849 -0.189627 0.958852
1023 0.154456 0.409614 0.806676 0.206031 0.052025 -0.178170 0.960781
1026 0.171604 0.406433 0.803302 0.195911 0.076383 -0.167711 0.963150
1029 0.170983 0.394289 0.814879 0.230360 0.091799 -0.149764 0.957119
1032 0.186503 0.395088 0.794984 0.288385 0.075033 -0.143108 0.943782
1035 0.212264 0.385888 0.763915 0.329114 0.063890 -0.156748 0.928995
1038 0.218083 0.383959 0.759029 0.354362 0.064430 -0.159828 0.919093
1041 0.236170 0.378214 0.745949 0.381406 0.040731 -0.162505 0.909100
1044 0.257842 0.364028 0.726986 0.400555 0.038830 -0.175808 0.898409
1047 0.287226 0.374893 0.725590 0.412974 0.053758 -0.169566 0.893202
1050 0.314760 0.360833 0.712922 0.396966 0.066233 -0.170023 0.899513
1053 0.349077 0.358703 0.703397 0.367360 0.087280 -0.162563 0.911593
1056 0.385291 0.339224 0.694072 0.314271 0.112771 -0.145761 0.931273
1059 0.409529 0.330688 0.690967 0.265048 0.153042 -0.121112 0.944277
1062 0.432215 0.330505 0.684789 0.237276 0.180703 -0.095814 0.949666
1065 0.447797 0.349646 0.672404 0.222226 0.196866 -0.085461 0.951081
1068 0.454318 0.375598 0.655759 0.197034 0.189459 -0.089024 0.957788
